,,,,,,,,,,,,,
POZO,PEGDA (%),PVA (%),LAP (%),Agua (%),Young Modulus (Kpa),Error Absoluto,Error Relativo (%),Tiempo Sumergido (min),Ratio PVA/PEGDA,Ratio LAP/PEGDA,Ratio Polimero/Agua,DIA ESTUDIO,Altura (mm)
D5,14,3,0.12,82.88,23.68,4.817,20.34,315,0.214,0.009,0.205,2,4.54
D6,13,1,0.18,85.82,144.762,12.314,8.51,322,0.077,0.014,0.163,2,5.04
D7,22,8,0.09,69.91,88.969,9.195,10.34,329,0.364,0.004,0.429,2,5.32
D8,11,1,0.19,87.81,72.056,10.602,14.71,336,0.091,0.017,0.137,2,4.78
D9,21,4,0.2,74.8,210.661,8.37,3.97,343,0.190,0.010,0.334,2,5.98
D10,11,3,0.14,85.86,0.773,0.79,102.20,350,0.273,0.013,0.163,2,4.18
D11,21,0,0.16,78.84,501.456,14.606,2.91,357,0.000,0.008,0.266,2,5.56
D12,18,5,0.15,76.85,41.332,7.384,17.87,364,0.278,0.008,0.299,2,5.42
E1,11,1,0.19,87.81,68.686,6.803,9.90,371,0.091,0.017,0.137,2,4.84
E2,13,3,0.09,83.91,6.267,2.989,47.69,378,0.231,0.007,0.191,2,4.48
E3,21,2,0.16,76.84,63.522,7.501,11.81,385,0.095,0.008,0.299,2,5.36
E4,15,4,0.18,80.82,45.328,9.809,21.64,392,0.267,0.012,0.235,2,5.18
E5,26,0,0.1,73.9,250.59,9.829,3.92,399,0.000,0.004,0.352,2,5.3
E6,23,1,0.13,75.87,923.117,25.009,2.71,406,0.043,0.006,0.316,2,5.36
E7,13,3,0.07,83.93,22.989,3.901,16.97,413,0.231,0.005,0.191,2,4.74
E8,14,3,0.08,82.92,22.521,8.152,36.20,420,0.214,0.006,0.205,2,4.66
E9,25,2,0.16,72.84,545.955,14.984,2.74,427,0.080,0.006,0.371,2,5.62
E10,23,1,0.13,75.87,382.138,18.758,4.91,434,0.043,0.006,0.316,2,5.64
E11,21,2,0.16,76.84,124.002,8.158,6.58,441,0.095,0.008,0.299,2,5.6
